Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C	aveC63-C0_C	aveT63-T0_C	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V	aveC63-C0_V	aveT63-T0_V
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	3.112939976	3.20167018	3.050379756	2.802773725	3.10002573	3.114277297	2.252853031	2.419955748	-2.752816431	-3.025305865	0.954242509	1.113943352	1.431363764	2.750508395	1.653212514	1.041392685	2.696356389	2.942999593	2.45484486	2.819543936
KSW-T63_1_V_NODE_123_length_18050_cov_7.153376||full	3.402948829	3.534406899	3.332236415	3.112269768	3.44357588	3.395675785	2.636487896	2.685741739	-3.098643726	-3.33725954	1.361727836	1.361727836	1.322219295	2.866287339	1.812913357	1.176091259	2.973589623	3.095169351	2.551449998	3.022840611
KSW-cf_coassembly_k141_3575506||full	3.013258665	3.306853749	2.898176483	2.609594409	3.033825694	2.970811611	2.522444234	2.436162647	-2.968949681	-2.848804701	0.477121255	0.477121255	0	1.633468456	1.041392685	0	1.838849091	2.257678575	1.301029996	2.079181246
KSW-T63_1_C_NODE_1940_length_18501_cov_5.009704	0	0	0.477121255	1.113943352	0	0	2.936010796	3.120244796	0.903089987	3.037824751	0	0	0	0	0	0	2.40654018	2.603144373	0	2.515873844
KSW-cf_coassembly_k141_3499455||full	1.929418926	2.123851641	2.399673721	1.977723605	1.72427587	1.707570176	2.583198774	3.31993844	1.812913357	3.07371835	0	0.477121255	0.477121255	0.698970004	0.84509804	0.698970004	2.004321374	3.260309946	0.477121255	2.980457892
KSW-cf_coassembly_k141_3500842||full	0	0	0	1.230448921	0	0	2.752048448	3.283527365	0.954242509	3.094471129	0	0.477121255	0	0	0	0	1.230448921	1.812913357	-0.301029996	1.612783857
KSW-cf_coassembly_k141_2024236||full	2.658011397	3.013258665	2.522444234	2.276461804	2.98721923	2.646403726	2.320146286	2.222716471	-2.683947131	-2.716003344	0.477121255	0	0.84509804	1.740362689	0.84509804	0	1.544068044	2.475671188	1.477121255	2.214843848
KSW-cf_coassembly_k141_277224||full	0.698970004	0	0	0.954242509	0	0	2.805500858	3.028977705	0.477121255	2.931457871	0	0	0	0	0	0	1.491361694	2.173186268	0	1.954242509
KSW-cf_coassembly_k141_949622||full	1.51851394	1.491361694	1.653212514	2.514547753	1.949390007	1.591064607	2.53529412	2.646403726	2.190331698	2.51851394	0	0	0	1.491361694	0	0	1.51851394	1.897627091	1.204119983	1.748188027
KSW-cf_coassembly_k141_3381873||full	1.826074803	2.442479769	2.530199698	2.294466226	1.968482949	1.929418926	2.768638101	3.553761698	1.986771734	3.2999429	0	0	0.477121255	0	0.698970004	0.477121255	1.949390007	3.231214648	0.301029996	2.950851459
KSW-cf_coassembly_k141_2981187||full	2.729974286	2.902546779	2.489958479	2.320146286	2.845718018	2.64246452	2.096910013	2.075546961	-2.612783857	-2.652246341	0.477121255	0	0.477121255	1.672097858	0.698970004	0	1.612783857	2.212187604	1.380211242	2
KSW-cf_coassembly_k141_2724345||full	1.929418926	2.26245109	1.886490725	1.838849091	1.633468456	1.838849091	2.294466226	3.075911761	-1.792391689	2.805500858	0	0	0	0	0.84509804	0.84509804	1.591064607	2.40654018	0	2.149219113
KSW-cf_coassembly_k141_2867694||full	1.770852012	1.968482949	2.88592634	2.525044807	1.491361694	1.322219295	1.785329835	2.155336037	2.678518379	1.886490725	0	0	0.84509804	1.491361694	0.477121255	0	2.1430148	2.514547753	1.278753601	2.365487985
KSW-cf_coassembly_k141_2747443||full	2.98811284	2.750508395	3.206015877	3.865518519	3.242789809	2.92788341	3.840670561	4.117635817	3.568788212	3.940665872	1.612783857	1.397940009	1.431363764	2.57634135	1.491361694	1.812913357	3.176380692	3.745777218	2.230448921	3.542576476
KSW-cf_coassembly_k141_3317551||full	0	0.477121255	0	1.041392685	0	0	2.484299839	3.102776615	0.698970004	2.895422546	0	0	0	0	0	0	1.544068044	1.568201724	0	1.556302501
KSW-T63_2_C_NODE_1009_length_30464_cov_7.167911||full	0	0	0	0	0	0	2.42975228	3.287129621	0	3.042575512	0	0	0	0	0	0	1.908485019	2.723455672	0	2.484299839
KSW-T63_2_C_NODE_1743_length_22140_cov_90.959701||full	0	0	0.698970004	1.397940009	0.477121255	0	3.652149605	4.263043983	1.176091259	4.057133367	0	0	0	0	0	0	2.88592634	3.434728542	0	3.241795431
KSW-T63_2_C_NODE_4246_length_12425_cov_3.672110||full	0.698970004	1.361727836	0.477121255	1.397940009	0.954242509	0.698970004	1.770852012	2.67669361	0	2.416640507	0	0	0	0	0	0	0.84509804	2.029383778	0	1.755874856
KSW-vf_coassembly_k141_455201||full	0	0	0	1.707570176	0	0	3.852784869	4.478754024	1.414973348	4.269956352	0	0	0	0.954242509	0	0	3.454997217	3.910357557	0.698970004	3.739809599
KSW-vf_coassembly_k141_729757||full	0.84509804	1.041392685	0.954242509	1.939519253	0	0.477121255	1.838849091	2.271841607	1.602059991	2.103803721	0	0	0	1.740362689	0	0.477121255	1.785329835	2.726727209	1.447158031	2.471291711
