Pathway	Total AMGs	Metabolism
Glycolysis / Gluconeogenesis	6	Carbohydrate metabolism
Citrate cycle (TCA cycle)	2	Carbohydrate metabolism
Pentose phosphate pathway	3	Carbohydrate metabolism
Pentose and glucuronate interconversions	2	Carbohydrate metabolism
Fructose and mannose metabolism	3	Carbohydrate metabolism
Galactose metabolism	5	Carbohydrate metabolism
Starch and sucrose metabolism	2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	6	Carbohydrate metabolism
Pyruvate metabolism	1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	5	Carbohydrate metabolism
Inositol phosphate metabolism	2	Carbohydrate metabolism
Carbon fixation in photosynthetic organisms	2	Energy metabolism
Carbon fixation pathways in prokaryotes	2	Energy metabolism
Methane metabolism	4	Energy metabolism
Sulfur metabolism	14	Energy metabolism
Fatty acid biosynthesis	6	Lipid metabolism
Steroid hormone biosynthesis	1	Lipid metabolism
Sphingolipid metabolism	2	Lipid metabolism
Biosynthesis of unsaturated fatty acids	1	Lipid metabolism
"Alanine, aspartate and glutamate metabolism"	3	Amino acid metabolism
"Glycine, serine and threonine metabolism"	6	Amino acid metabolism
Cysteine and methionine metabolism	100	Amino acid metabolism
Lysine biosynthesis	1	Amino acid metabolism
Lysine degradation	1	Amino acid metabolism
Arginine and proline metabolism	1	Amino acid metabolism
Phenylalanine metabolism	1	Amino acid metabolism
"Phenylalanine, tyrosine and tryptophan biosynthesis"	2	Amino acid metabolism
beta-Alanine metabolism	1	Metabolism of other amino acids
Phosphonate and phosphinate metabolism	5	Metabolism of other amino acids
Cyanoamino acid metabolism	2	Metabolism of other amino acids
D-Alanine metabolism	3	Metabolism of other amino acids
Glutathione metabolism	4	Metabolism of other amino acids
Lipopolysaccharide biosynthesis	2	Glycan biosynthesis and metabolism
Peptidoglycan biosynthesis	9	Glycan biosynthesis and metabolism
Other glycan degradation	2	Glycan biosynthesis and metabolism
Riboflavin metabolism	1	Metabolism of cofactors and vitamins
Nicotinate and nicotinamide metabolism	5	Metabolism of cofactors and vitamins
Biotin metabolism	9	Metabolism of cofactors and vitamins
Folate biosynthesis	31	Metabolism of cofactors and vitamins
One carbon pool by folate	5	Metabolism of cofactors and vitamins
Porphyrin and chlorophyll metabolism	6	Metabolism of cofactors and vitamins
Ubiquinone and other terpenoid-quinone biosynthesis	2	Metabolism of cofactors and vitamins
Phenylpropanoid biosynthesis	1	Biosynthesis of other secondary metabolites
Monobactam biosynthesis	1	Biosynthesis of other secondary metabolites
Phenazine biosynthesis	1	Biosynthesis of other secondary metabolites
Prodigiosin biosynthesis	2	Biosynthesis of other secondary metabolites
Biosynthesis of secondary metabolites - other antibiotics	1	Biosynthesis of other secondary metabolites
Benzoate degradation	5	Xenobiotics biodegradation and metabolism
Xylene degradation	1	Xenobiotics biodegradation and metabolism
Dioxin degradation	2	Xenobiotics biodegradation and metabolism
Naphthalene degradation	1	Xenobiotics biodegradation and metabolism
Polycyclic aromatic hydrocarbon degradation	1	Xenobiotics biodegradation and metabolism
Sulfur relay system	12	"Folding, sorting and degradation"
